state,year,hour,offense_type,period,crime_count,data_year,population,crime_rate_per_100k
CA,2022,17,motor_vehicle_theft,standard,1360,2022,39142414,3.4744918900505217
CA,2022,18,burglary,DST,1675,2022,39142414,4.279245526348989
CA,2022,18,burglary,standard,854,2022,39142414,2.181776525075842
CA,2022,18,motor_vehicle_theft,DST,2330,2022,39142414,5.952622135160086
CA,2022,18,motor_vehicle_theft,standard,1308,2022,39142414,3.3416436707250603
CA,2022,19,burglary,DST,1360,2022,39142414,3.4744918900505217
CA,2022,19,burglary,standard,710,2022,39142414,1.8138891484822577
CA,2022,19,motor_vehicle_theft,DST,2218,2022,39142414,5.66648750892063
CA,2022,19,motor_vehicle_theft,standard,1178,2022,39142414,3.009523122411408
CA,2022,20,burglary,DST,1404,2022,39142414,3.5869019217874505
CA,2022,20,burglary,standard,696,2022,39142414,1.7781223202023257
CA,2022,20,motor_vehicle_theft,DST,2403,2022,39142414,6.139120596905444
CA,2022,20,motor_vehicle_theft,standard,1312,2022,39142414,3.3518627645193266
CA,2022,21,burglary,DST,1297,2022,39142414,3.3135411627908287
CA,2022,21,burglary,standard,674,2022,39142414,1.7219173043338616
CA,2022,21,motor_vehicle_theft,DST,2415,2022,39142414,6.169777878288242
CA,2022,21,motor_vehicle_theft,standard,1166,2022,39142414,2.978865841028609
CA,2022,22,burglary,DST,1233,2022,39142414,3.1500356620825682
CA,2022,22,burglary,standard,606,2022,39142414,1.5481927098313355
CA,2022,22,motor_vehicle_theft,DST,2385,2022,39142414,6.093134674831246
CA,2022,22,motor_vehicle_theft,standard,1224,2022,39142414,3.1270427010454696
CA,2022,23,burglary,DST,1091,2022,39142414,2.7872578323861172
CA,2022,23,burglary,standard,535,2022,39142414,1.3668037949831096
CA,2022,23,motor_vehicle_theft,DST,1870,2022,39142414,4.777426348819468
CA,2022,23,motor_vehicle_theft,standard,893,2022,39142414,2.281412689569938
CA,2023,1,burglary,DST,1853,2023,39198693,4.7271984298047895
CA,2023,1,burglary,standard,911,2023,39198693,2.3240570801684637
CA,2023,1,motor_vehicle_theft,DST,1936,2023,39198693,4.938940183541323
